created_at,text
2019-06-09T14:30:49Z,"“Belle Hutt, 24, from Oxford, was diagnosed with severe narcolepsy after having a flu vaccination in 2009.” .⁦@Todaysparent⁩ .⁦@parentsmagazine⁩ #vaccineinjuryisnotsorare 🤞⁦@VaccineChoiceCA⁩  https://t.co/eyyJK1yMgl"
2019-06-09T14:30:48Z,Remember....Antibiotics does not work for cold or flu.. https://t.co/kzeS8jGVVv
2019-06-09T14:30:31Z,We're headed into parietal cell autoantibodies Cervical smear: [wart virus] or [herpes] Synovial flu season
2019-06-09T14:30:29Z,"""Going to a counselor or a therapist when you are feeling sad or overwhelmed should be as normal as going to the doctor when you have the flu.""

End the stigma about mental health.

#selfcaresunday #pavebennington #naturallife https://t.co/HpiNuvXUxf"
2019-06-09T14:30:25Z,"letting myself go:( ... it’s 430am.. jeez~ I just need to get up and get out. I can’t wait to stand in the mirror and be like ultra excited. recently , I just look in the mirror and say “im not that bad yet” haha. What a flu~ .. gonna work on this, as soon as I wake up tomorrow"
2019-06-09T14:30:18Z,I was sneezaughing bcs i have flu and terlaugh when i saw this post https://t.co/10sgcdj1Vn
2019-06-09T14:30:01Z,Could gene editing chickens help stop bird flu? https://t.co/IUElZHUMWI By @bruce_y_lee https://t.co/2rtzCPbCaq
2019-06-09T14:29:56Z,@Lindslays_ Lol I am sick. We’re just going to a coffee shop so I can get flu shots and he can get cake. Nothing special mngani ♥️
2019-06-09T14:29:08Z,I don’t want to come off anti-vax but the flu shot is bullshit
2019-06-09T14:28:27Z,"Explain explain.. (oke)
explain explain explain... (okee)
explain (ok)
EXPLAIN!!!

well, i had tissue on my nose because of my flu😂
#NCTzenSelcaDay https://t.co/JSChHSxsMn"
2019-06-09T14:26:56Z,My first food for 2 days. A tiny cup of pasta. I haven’t been able to get a flu shot because I haven’t been well this whole flu season. 👍🏼 https://t.co/8INpXiWxA4
2019-06-09T14:20:55Z,I’ve been sick for 6 days. I told a colleague with the flu I couldn’t afford to get sick because I had too much due. IF YOU ARE SICK STAY HOME. SOME OF US DON’T HAVE FUNCTIONING IMMUNE SYSTEMS.
2019-06-09T14:26:35Z,@isabelleenguyen Search “@OfficiallyIce man flu”...your answer is there
2019-06-08T10:00:02Z,"I got flu from bacteria, not from virus. There're bacterias in my throat. I feel so bad. 🤕🤒"
2019-06-09T14:26:29Z,"As a result of bacteria in my throat, I have a cold(not the flu 😑). And, I have a fever too.
Anyway, please get well soon. 🤧

However, I don't mind vocabulary and grammar. I sick now. 😢"
2019-06-09T11:54:09Z,@MackayIM @AntibioticDoc Is this early peak just flu come early with ultimately normal intensity or does it portend a really severe season?
2019-06-09T14:26:27Z,@MackayIM @AntibioticDoc True. Is this just random variation and coincidence or are there causal links?  In the nature of things probably a bit of both. It is reasonable though to seek patterns and then an explanation. This flu season is a natural experiment so. We will all be observing #interestingtimes
2019-06-09T00:10:03Z,"In Australia #flu hospitalisation rates have exceeded previous peaks- season only starting. Trouble ahead there, and likely coming here in 6 months. https://t.co/HlqOwrUOqm"
2019-06-09T14:26:09Z,Remember....Antibiotics does not work for cold or flu.. https://t.co/kzeS8jGVVv
2019-06-09T14:24:58Z,"@center4inquiry @MailOnline Seems like this has a little bit to do with big drug companies who are losing money.  Some of this products work and help people to avoid using poisonous products such as Tylenol, Advil, and most cold/flu medicine. Those “safe” products damage different organs."
2019-06-09T14:24:47Z,@TheRealOscarDog @welshcav You ok Mrs CC....is it woman flu or a cold 🤔🤔xx
2019-06-09T14:24:47Z,"@darealmolf Been dying 😭😭😭. Flu nearly killed me 😔.
How you been 🙂?"
2019-06-09T14:24:16Z,Twitter is afraid of us sir. They see your strategies and peace through strength is in flu and seeing people and governments around the world the New World Order is crumbling and it scares the hell out of them https://t.co/GnAUiNJf31
2019-06-09T14:24:08Z,"Texas needs to chill out. No more above 100 readings of heat. It felt as if the devil sat his ass crack on Texas. So damn hot when I stepped out my front door, I walked right back inside and called work saying I had the flu."
2019-06-09T14:23:55Z,UG Twitter is slowly catching the Facebook flu and we are not bothered. It's absurd 😔 https://t.co/V2ORNEeSrR
2019-06-09T14:23:53Z,"@scott_satzer Ikr!?! And why don't they call it what it really really (lol) is, which is Vagus Nerve Dysfunction? 
Who can function properly with their bowels in control of their time?

For the non-sick folks, IBS is like having the stomach flu. Forever."
2019-06-09T14:23:45Z,"'Flu vaccination for NHS staff may become contractual duty, says chief medical officer' https://t.co/zkiXLNp3wv"
2019-06-09T14:23:38Z,This flu is killing me 😭😭😭😭
2019-06-09T14:23:25Z,Small small flu and this man bought me a whole ass heater 😂😂
2019-06-09T10:30:50Z,"Really thought getting a vaccine would save me from the flu? Jokes on me, 2nd time this year 
What is a vaccine https://t.co/7F2kifFxou"
2019-06-09T14:22:42Z,"You want to protect your baby from pneumonia, ear infections, asthma, colds &amp; flu. Breast-feeding can help. https://t.co/scNZJat4be https://t.co/WXuhMokgFd"
2019-06-09T14:22:23Z,@letsieza Lmao not just flu! Damn tonsils too...
2019-06-09T08:47:50Z,@jah_ndlovu Including Flu?
2019-06-09T14:22:22Z,@bookwormdibz So is flu right?
2019-06-09T14:22:17Z,"Lirik nya Mark Owen nya TakeThat yg 🎵 Is That What It's All About 🎵 beuhhh gw bgtts 😅

🎶 is that what its all about,
Hiding our feelings away
Let the problem be that of another man,
I'm living my life in this way.
Far away from a troubled face,
Is that what its all about 🎶"
2019-06-09T13:33:22Z,@teresajgregory @Area17GZ @LauraHouston4 It was done already with swine flu virus- mutated so it could infect humans. There is an actual patent on the viral construct . https://t.co/nbBIkVPXfG
2019-06-09T14:21:51Z,"@debbysc14 @teresajgregory @LauraHouston4 I know.  They killed her with it

https://t.co/zZDQK4QgG9"
2019-06-09T14:20:35Z,"'Flu vaccination for NHS staff may become contractual duty, says chief medical officer' https://t.co/zkiXLNp3wv"
2019-06-09T14:19:44Z,"Flu tv show binging has continued. I’m now watching @thesociety. It’s pretty good so far. I really dislike that there was a gluten free joke though. Like that’s a legitimate worry for so many Celiacs. If there was an emergency, is it possible to get safe GF food?"
2019-06-08T01:32:36Z,Catching up on #Riverdale while recuperating from the flu. So... uh... when did Chad Michael Murray become old enough to play a father? 🤯
2019-06-09T14:19:01Z,"me asking my 
friends for                 
favors and help
for once bc
i have the flu:                          my friends: https://t.co/QHfX2GXzE0"
2019-06-09T07:32:14Z,i forgot it was flu season now me having the flu makes sense but still sucks anyway🤒🤧
2019-06-09T14:18:20Z,"@wolfmama4ever I wish it were just the stomach flu, unfortunately it's a tumor in my mesenteric.  That's the stuff that lines your abdomen. Hope to have results from the biopsy tomorrow. It's been a rough few weeks, to say the least."
2019-06-09T14:18:00Z,"@KaiserWunderbar @DrWigley @AdamRutherford Measles, smallpox, HIV, flu, and diphtheria are all zoonoses - started with animals and jumped to humans. So I don’t see what your point is. 🤷🏻‍♀️"
2019-06-09T14:17:49Z,"Been under the weather since yesterday..Flu which developed into fever..My TL filled with false accusations issues,trying to follow and my eyes turning me in 360 degrees..Thank God there's football later in the day to cleanse my TL but ronaldo&amp;Messi fanboys are lurking around 😢"
2019-06-09T14:17:47Z,@marknorm Swine flu
2019-06-09T14:17:08Z,"@Gb2uno That man is bitchmade, Kobe played with broken fingers and no knees , bron played with a broken hand. Jordan played with the flu.... and this bitch ass nigga cant play with a bad hair cut and a lil calf problem 😑😑😑😑 PACK THIS BITCHASS NIGGA UP he ain't no great he sweet"
2019-06-09T14:16:45Z,@Vicster1234 @LeaveEUOfficial As long as all the farmers will be happy with not farming anymore that will indeed allow you to import cheaper food as you will also be able to now capitalise on lower standards in production. The swine flu outbreak in Asia is a possible indicator of a future volatility in price.
2019-06-09T14:16:15Z,Ok a real (v belated) Shawol Selca Day selca- but im afraid this is from Harry Potter World last month bc I have flu right now and you do NOT want to see that. #shawolselcaday 💕to Minho 🥰 https://t.co/am1sRGmqsx
2019-06-09T14:15:58Z,Remember....Antibiotics does not work for cold or flu.. https://t.co/kzeS8jGVVv
2019-06-09T14:15:53Z,Remember....Antibiotics does not work for cold or flu.. https://t.co/kzeS8jGVVv
2019-06-09T14:15:07Z,I haven’t watched Harry Potter since I had the flu a couple months ago so I think it’s a good day to put hp on and clean the apt ⚡️
2019-06-09T14:15:04Z,@tiffanyironrage @JeffreeStar Love the look and girl I know the struggle my daughter just had the flu and mommy got it after for cuddling and babying the sick baby lol
2019-06-09T14:15:02Z,@aseitzwald I feel the flu coming on.
2019-06-09T14:14:51Z,"What type of flu is this? 😭😭 the moment I think I fee better, it starts again. No ways💔"
2019-06-09T14:13:40Z,"@AStrongerOZ Cereal pie.  Strangely.....I would try this.  But it’s after midnight, I’m really tired, and coming down with the flu.  So that might be why...."
2019-06-09T14:11:49Z,"What are the common symptoms of STI?

Sometimes STI may not show any symptoms so it is best if you go consult a doctor. Although symptoms may include bumps or sores, itchiness, pain or burning when urinating, fever or flu."
2019-06-09T14:10:41Z,Don't do it. https://t.co/y28BD715Xe
2019-06-09T14:10:40Z,Remember....Antibiotics does not work for cold or flu.. https://t.co/kzeS8jGVVv
2019-06-09T14:10:08Z,"a few days later and i still have such a sore throat it feels like i've got the flu @_@

i'm a FOOL lmao"
2019-06-09T14:09:58Z,Flu will mess up your tastebuds😒
2019-06-09T14:09:05Z,"#OverlyUsedManisms

Man flu is more painful than giving birth https://t.co/tp0UBREspq"
2019-06-09T14:08:41Z,"Flu vax is made to order each year. Once it's gone, it's gone!

Help us make sure we have enough for your employees...

Tell us now approx how many vaccines you think you'll need, with no obligation at this time. https://t.co/8dp3P3JnWW

#fluvaccine #vaccinate https://t.co/AT6IolDxtn"
2019-06-09T14:08:31Z,Fla 2️⃣X 1️⃣ flu 👍🏽 https://t.co/KnUQb3oYCI
2019-06-09T14:07:54Z,"@honeyaudios__ No lol.. ^^ Flu turned into an infection turned into sinus pressure, turned into not hearing in my left ear + migraines. It was certainly unique."
2019-06-09T14:07:46Z,@Wuraaola Why are you hot then? Flu?
2019-06-09T14:07:36Z,i just want pancakes but of COURSE Garrett has to have the flu
2019-06-09T14:07:06Z,"shit, tomorrow ill start working and im still having this flu"
2019-06-09T14:06:38Z,Remember that time Chris gave everybody the man flu?
2019-06-09T14:05:21Z,"If you walk down the street and smile at someone, that will get passed on to the next person. Same concept for swine flu"
2019-06-07T14:05:20Z,"If you walk down the street and smile at someone, that will get passed on to the next person. Same concept for swine flu"
2019-06-08T22:05:20Z,"If you walk down the street and smile at someone, that will get passed on to the next person. Same concept for swine flu"
2019-06-09T14:05:19Z,@SentleL the flu is killing me but hey I can't hold myself to sing along Sam Salter talking show that I care on the Romantic Repertoire with the man behind the jams #TRR on Metro Fm @METROFMSA
2019-06-09T14:04:48Z,Can Gene Editing Stop The Bird Flu? Here Is The Latest With Chickens via @bruce_y_lee https://t.co/uQsPDd7agZ
2019-06-09T14:04:22Z,People swear ginger baths can combat cold and flu.... #body #fitfood #weightlifting https://t.co/BbpiDO9N4V https://t.co/IxWojWYZuZ
2019-06-09T14:03:59Z,Jordan played with the flu 🐐 no excuses
2019-06-09T14:03:58Z,Remember....Antibiotics does not work for cold or flu.. https://t.co/kzeS8jGVVv
2019-06-09T14:03:35Z,"Flu-like symptoms: Hantavirus is spreading: ""2019 is clearly an outbreak year"" https://t.co/qJK91V2QW9 https://t.co/TnEdj7csRy"
2019-06-08T07:14:08Z,@sistawithbooty @iamCollenZondo @SatAmClub @gagasifm Morning take care of that flu bbs
2019-06-09T14:02:47Z,@SentleL the flu is killing me but hey I can't hold myself to sing along Sam Salter talking show that I care on the Romantic Repertoire with the man behind the jams #TRR on Metro Fm @METROFMSA
2019-06-09T14:02:18Z,Remember....Antibiotics does not work for cold or flu.. https://t.co/kzeS8jGVVv
2019-06-09T14:02:15Z,officially have the flu https://t.co/8QxxBXsDPO
2019-06-09T14:01:58Z,"Poisoning in the womb now with vaccines.
.............................. https://t.co/0ihLm4ffoW"
2019-06-09T14:01:46Z,"i think i’m getting sick, the flu or something"
2019-06-09T14:01:27Z,Could it be flu?  influenza https://t.co/hn8JqgU5E3 https://t.co/ecuI6j6700
2019-06-07T22:30:20Z,"Since 2010, the years with a preponderance of the H3N2 flu virus strain have had the highest costs, highest number of cases, highest number of hospitalizations and highest number of deaths. https://t.co/hn8JqgU5E3 https://t.co/krPcwuxCws"
2019-06-09T14:01:20Z,UG Twitter is slowly catching the Facebook flu and we are not bothered. It's absurd 😔 https://t.co/V2ORNEeSrR
2019-06-09T14:00:53Z,"I am down with a fever, flu and a cough.. and a nice little headache sometimes. I have only been able to eat,drink,bath and get back to the blankets. I will be fine soon!"
2019-06-09T14:00:52Z,"#OverlyUsedManisms

Man flu is more painful than giving birth https://t.co/tp0UBREspq"
2019-06-09T14:00:42Z,"medication is really expensive. 😭

if big pharma can sponsor a bulk of cough mixture, flu medication and paracetamol for the orang asli in kuala koh it would make a HUGE difference.

if you got friends working there, TELL THEM WE NEED THEIR HELP."
2019-06-09T14:00:33Z,My flu gets even worse I'm back at my room zzz I guess it's because of the dust ????
2019-06-09T14:00:07Z,IF WE DONT GET THIS HAIRSTYLE DURING PD IM GOING TO FLU TO KOREA AND STYLE HIS HAIR MYSELF https://t.co/IEKuHnaJq9
2019-06-09T13:58:56Z,i have the african poo flu
2019-06-09T13:58:50Z,Pregnant woman with flu after getting VACCINATED was forced to sleep on floor of Perth hospital https://t.co/ghld73jHe9
2019-06-09T13:58:23Z,Allergy season be like: are you sick? Do you have a cold? Do you have the flu? You should see a doctor
2019-06-09T13:58:15Z,Staying in aus for three more days cause the airline wouldn't let me fly due to the flu https://t.co/s0xLENIEUR
2019-06-08T23:17:41Z,"Woke up with the flu and I fly back to NZ today... A nightmare, lit rally a nightmare luv https://t.co/5Mmco8WoIY"
2019-06-09T13:57:20Z,I think le ntsentse flu 😔 @Mslebsa
2019-06-09T13:30:35Z,@ijump56 The only tweet I’ve seen with more is the Wendy’s/chance the rapper campaign to bring back the spicy chicken nuggets tweet lol
2019-06-09T13:42:38Z,@littlexbitt I was crying  that whole scene especially when his old girlfriend Jenny chose him to die lol!!!!
2019-06-09T13:36:01Z,@littlexbitt It was!!!! Between Keanu Reeves and that sex scene with D’angelo I was weeeeaaaakkk!!!!
2019-06-09T13:43:46Z,Yo this nigga is nuts b 😂😭😂😂 https://t.co/dr2wopFYIL
2019-06-09T13:56:45Z,@ThereGoesSusie You better go! 😍😍😍
2019-06-09T00:50:50Z,@drdhanlon Will keep an eye. Was on mat leave for most of flu season last year and was lazy about getting to  vaccination clinic. I won’t make that mistake again .... https://t.co/ZZSRt5EqBc
2019-06-09T13:55:41Z,@Patricia_Davis4 Part of my tardiness was having to pay for it. Got my first flu jab free through occ health in 2005 and every year since . Which just shows how much we take the national immunisation schemes for granted when in reality we are so very privileged to have it
2019-06-09T13:55:33Z,Remember....Antibiotics does not work for cold or flu.. https://t.co/kzeS8jGVVv
2019-06-09T13:55:32Z,"Also, your hair looks awful, your face looks ruddy and your body is a train wreck. You stole the office from a woman who you said was unfit because she once had the flu. You must be proud."
2019-06-09T12:59:30Z,@Bill_9ine @9021hoee @TrebleSK Dirty dirty smh
2019-06-08T02:51:44Z,This me af &amp; ain’t nobody gon check me I wish a muhfucka would 😂😂🤣🤣🤣 https://t.co/dheaWCZp8E
2019-06-09T13:55:14Z,My thoughts exactly 🤣🤣🤣🤣 https://t.co/OwBC8pE1IT
2019-06-08T02:49:00Z,@Nu_Nique87 No problem whatsoever
2019-06-08T02:02:06Z,tracking. Fr trrrrcd
2019-06-07T13:31:14Z,@TheJessieWoo @PEOPLEOFMEMPHIS Exactly 😒 sssttooooooop 🛑 the nonsense
2019-06-08T03:01:49Z,@Andersonlovins1 U gotta do the dance tho
2019-06-08T02:53:43Z,Facts! They bet not say a damn thang https://t.co/alffiZyUKa
2019-06-08T10:50:57Z,Stay finessing the clock 🕰
2019-06-09T13:54:47Z,"😷 Lab-confirmed #Flu in #Australia to 09JUN2019.
⚪ pink line-positives for 2019
🤧 +1,366 cases added overnight (+1,312 to June) 
🤧76,032 cases nationally for 2019 so far
🤧 Only 9 days into June but already a higher total than 8 of the past 10 years' June totals https://t.co/Dj3YuO3Ntq"
2019-06-09T13:54:47Z,Pose muna before magpa flu vaccine. 💉🏥 https://t.co/dIOxUdOQI5
2019-06-09T13:54:21Z,"#StrayKids #StaySelcaDay 
""Smiling is infectious,
 you catch it like the flu,
  When someone smiled at me today,
   I started smiling too.""

Karen McLendon-Laumann
(I look ugly but sdfghjyf Chris is amazing)
Also congratulations skz❤ https://t.co/gojEC93jeE"
2019-06-09T13:54:17Z,"5c. In ""sickness and in health"" is interesting, because when I was in Canada for a month @ainmosni got the super death flu. Who took care of him when I couldn't? His girlfriend. How grateful I was to her for doing this! So traditional marriage vows don't apply to us."
2019-06-08T12:55:37Z,@ItsSamG @This_Josh_guy @loving1317 @KrackedKiwi That’s how I say it when I have the man flu...
2019-06-08T12:57:18Z,"@ItsSamG @This_Josh_guy @loving1317 @KrackedKiwi I survived the man flu, hold your applause."
2019-06-09T07:57:36Z,@allisfair Man flu is no joke! It is deadlier to a man than Devil Foofie Magic. I am thinking of you during this very difficult time.
2019-06-09T13:54:16Z,Remember that time Chris gave everybody the man flu?
2019-06-08T14:20:00Z,Art-list - Flu Season by Skies Speak - Testament
2019-06-08T01:26:10Z,Art-list - Flu Season by Skies Speak - Testament
2019-06-09T13:54:15Z,Art-list - Flu Season by Skies Speak - Testament
2019-06-09T13:54:13Z,Remember....Antibiotics does not work for cold or flu.. https://t.co/kzeS8jGVVv
2019-06-09T13:53:49Z,Remember that time Chris gave everybody the man flu?
2019-06-09T13:52:39Z,Diamonds got the flu try not to catch this
2019-06-09T13:52:37Z,"Doctors will offer you a sauna as complementary to routine Western medicine. The studies are in and the positive benefits make a long list! Enjoy a beautiful relaxing infrared sauna room to minimize the symptoms of chronic pain, cold and flu, chemotherapy, and more.
#Health #Life https://t.co/6qCuW2CcMt"
2019-06-09T13:52:25Z,Literally dying I'm sat at the bus stop with full blown flu just so I can go and get myself some Cold &amp; Flu tablets some bubble bath and some chocolate just so I can make myself feel better
2019-06-09T13:51:45Z,I have yet to understand the way people think it’s ok to allow disease  to flood in but are paranoid about the flu shot every year
2019-06-09T13:51:36Z,Remember that time Chris gave everybody the man flu?
2019-06-09T13:50:36Z,@SentleL the flu is killing me but hey I can't hold myself to sing along Sam Salter talking show that I care on the Romantic Repertoire with the man behind the jams #TRR on Metro Fm @METROFMSA
2019-06-09T13:49:41Z,Remember that time Chris gave everybody the man flu?
2019-06-09T13:49:40Z,When you’re full of man flu and the memory of being not sick seems like a million years ago #manflu
2019-06-07T16:56:12Z,@NdutaMartha @RChemutai @Davidkimmzz @carolyn_nekesa @Jackie45868811 @ElijahMakori4 @crlkinuthia @collinskorir23 @Irushsam @emmanuelnyende7 @norah_sosi @OkwembaJonathan @KipkiruiGilbe15 @MuchangiV @jjgichimu @sharon_ondisa @JamesThiga12 @WanjiruAliceN @EvansMuhali @Gathoni_Mbugua @_SVETSM @mudaki_moses @Daudichesang1 @EngosiYvonne @mikesamvan @Lydiahkabugi @Ding5uri @havawi @DENODNB @NamaswaLukorito @MweneTiiri @CatherineNdonye @Gloriamwai1 @GKlif @koieve3 @KoikaiW @Mbaukamau1 @kbcenglish @AdhizLeah @Kimikipap1 @TTennoh @GKiboss @Amkiru @FlorenceIgogoW @theuriallan @carapsang @caroltheuri07 @LisaBina11 @ObongoJnr Jesooooo uko in da area #SundownerKBC #SundownerKBC  Twitter flu again did me as usual
